Protein.IDs,LFQ.intensity.01.51.48.N,LFQ.intensity.02.2870.17.T,LFQ.intensity.03.613.19.T,LFQ.intensity.04.91.19.N,LFQ.intensity.05.1200.18.N,LFQ.intensity.06.34.20.T,LFQ.intensity.07.306.19.T,LFQ.intensity.08.2283.18.T,LFQ.intensity.10.885.17.T,LFQ.intensity.11.51.18.T,LFQ.intensity.12.1315.18.T,LFQ.intensity.13.1219.17.T,LFQ.intensity.14.1301.19.N,LFQ.intensity.15.1219.17.N,LFQ.intensity.16.2286.19.T,LFQ.intensity.17.2097.17.T,LFQ.intensity.18.1301.19.T,LFQ.intensity.19.2870.17.N,LFQ.intensity.20.2097.17.N,LFQ.intensity.21.613.19.N,LFQ.intensity.22.1200.18.T,LFQ.intensity.23.1512.18.T,LFQ.intensity.24.885.17.N,LFQ.intensity.25.2286.19.N,LFQ.intensity.26.91.19.T,LFQ.intensity.27.1315.18.N,LFQ.intensity.28.2283.18.N
sp|O00391-2|QSOX1_HUMAN;sp|O00391|QSOX1_HUMAN,1032300,2160900,2655900,1309200,3695800,2423900,1532500,2883100,1153800,3099900,4469300,3229100,2473700,1279600,1932700,2343800,1724000,1906700,2037600,1708700,9293100,NA,1799000,1780000,2128600,4007200,NA
sp|O00401|WASL_HUMAN,NA,NA,317600,NA,NA,913820,2201100,731140,805540,985760,787300,288990,583650,306370,NA,998950,1306100,NA,NA,NA,476160,1314100,NA,NA,1551900,NA,NA
sp|O00410|IPO5_HUMAN;sp|O00410-3|IPO5_HUMAN;sp|O00410-2|IPO5_HUMAN,NA,619980,779370,NA,332990,NA,5962700,244710,NA,490810,1554500,1226000,NA,398540,543770,3850300,NA,195070,346150,NA,744150,NA,NA,1076700,NA,544350,NA
sp|O00422-2|SAP18_HUMAN;sp|O00422|SAP18_HUMAN,1728200,3352900,2592700,NA,1235400,2151400,2168900,1865600,1857400,2183200,1164400,2840700,2737700,NA,2011000,2924200,2010900,1708700,NA,NA,NA,1616200,1911000,NA,2397200,NA,1851400
sp|O00425|IF2B3_HUMAN;sp|O00425-2|IF2B3_HUMAN,NA,174930,NA,NA,NA,NA,644700,NA,NA,NA,NA,1793300,NA,NA,NA,NA,1089200,NA,NA,NA,743100,3765000,NA,NA,4001300,NA,NA
sp|O00429-4|DNM1L_HUMAN;sp|O00429-5|DNM1L_HUMAN;sp|O00429-3|DNM1L_HUMAN;sp|O00429-9|DNM1L_HUMAN;sp|O00429-2|DNM1L_HUMAN;sp|O00429|DNM1L_HUMAN;sp|O00429-8|DNM1L_HUMAN;sp|O00429-6|DNM1L_HUMAN;sp|O00429-7|DNM1L_HUMAN,2194200,2711400,1014200,1405700,2267400,1282100,6544900,1206600,1650400,2539500,1946200,3085100,1349700,2085000,477690,2565700,1580400,2158100,1610800,757970,1550600,1691900,1170000,1444600,1288900,2097800,1215100
sp|O00442|RTCA_HUMAN;sp|O00442-2|RTCA_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|O00461|GOLI4_HUMAN,NA,NA,1902400,NA,NA,NA,NA,2861300,NA,NA,1854800,NA,NA,NA,NA,2641900,2334000,NA,NA,NA,1897600,NA,NA,NA,3274600,NA,2026500
sp|O00468-6|AGRIN_HUMAN;sp|O00468-7|AGRIN_HUMAN;sp|O00468-3|AGRIN_HUMAN;sp|O00468-5|AGRIN_HUMAN;sp|O00468-4|AGRIN_HUMAN;sp|O00468|AGRIN_HUMAN;sp|O00468-2|AGRIN_HUMAN,4055900,2411600,4716300,5376000,6586800,2594100,1860200,4150400,3836900,3264200,3810700,6700900,7449600,5960900,4664600,2328100,1836700,5019700,5650500,3918300,2574500,4526400,6740400,4092000,2983400,4161800,4254700
sp|O00469-2|PLOD2_HUMAN;sp|O00469|PLOD2_HUMAN;sp|O00469-3|PLOD2_HUMAN,NA,1154300,854490,NA,NA,NA,1390200,368420,525620,NA,2350800,1839200,NA,NA,NA,3642100,792040,NA,NA,NA,5948300,NA,NA,NA,NA,NA,NA
sp|O00487|PSDE_HUMAN,NA,668750,2061300,1586300,674360,NA,1657700,NA,NA,NA,1117600,1310000,NA,NA,2948500,1542100,1159600,NA,NA,978100,1473100,NA,NA,NA,NA,NA,873120
