Protein.IDs,LFQ.intensity.01.51.48.N,LFQ.intensity.02.2870.17.T,LFQ.intensity.03.613.19.T,LFQ.intensity.04.91.19.N,LFQ.intensity.05.1200.18.N,LFQ.intensity.06.34.20.T,LFQ.intensity.07.306.19.T,LFQ.intensity.08.2283.18.T,LFQ.intensity.10.885.17.T,LFQ.intensity.11.51.18.T,LFQ.intensity.12.1315.18.T,LFQ.intensity.13.1219.17.T,LFQ.intensity.14.1301.19.N,LFQ.intensity.15.1219.17.N,LFQ.intensity.16.2286.19.T,LFQ.intensity.17.2097.17.T,LFQ.intensity.18.1301.19.T,LFQ.intensity.19.2870.17.N,LFQ.intensity.20.2097.17.N,LFQ.intensity.21.613.19.N,LFQ.intensity.22.1200.18.T,LFQ.intensity.23.1512.18.T,LFQ.intensity.24.885.17.N,LFQ.intensity.25.2286.19.N,LFQ.intensity.26.91.19.T,LFQ.intensity.27.1315.18.N,LFQ.intensity.28.2283.18.N
sp|O95470|SGPL1_HUMAN,NA,5459300,1729100,NA,NA,NA,1331100,1840900,NA,1498200,1873100,2089100,NA,NA,4043400,3605900,2615400,NA,NA,NA,1690400,NA,NA,NA,NA,NA,NA
sp|O95479|G6PE_HUMAN;sp|O95479-2|G6PE_HUMAN,528880,765090,2049300,675190,1256300,1686700,851870,1851900,928360,1628500,2155500,1776100,1439600,1354500,964080,NA,1231500,1691200,1206300,1825400,1375100,1096500,808260,781930,958230,1334700,939550
sp|O95486|SC24A_HUMAN;sp|O95486-2|SC24A_HUMAN,383570,1089800,NA,NA,NA,NA,1370900,899870,1189100,728870,835050,980600,NA,NA,NA,1557800,1318900,NA,NA,NA,937860,NA,NA,NA,998920,NA,NA
sp|O95487-2|SC24B_HUMAN;sp|O95487|SC24B_HUMAN;sp|O95487-3|SC24B_HUMAN,NA,871030,1648700,NA,873220,NA,2033100,1128500,NA,877770,1687100,1679600,NA,NA,NA,1093800,932700,784620,NA,781400,NA,900040,NA,1108000,NA,NA,NA
sp|O95571|ETHE1_HUMAN,11404000,11307000,13619000,7654200,11527000,4309600,11167000,7360700,11229000,10796000,8981500,9228600,7487400,NA,7123800,10639000,14654000,17210000,15247000,20903000,12656000,15005000,10739000,17200000,6051600,10054000,13202000
sp|O95573|ACSL3_HUMAN,NA,1174700,1424200,NA,478700,NA,762350,NA,502510,NA,908990,460770,NA,442580,NA,785190,441810,474160,NA,434990,575130,754630,NA,484490,NA,635740,NA
sp|O95630|STABP_HUMAN;sp|O95630-2|STABP_HUMAN,NA,787850,901130,NA,NA,NA,1412400,852010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|O95671|ASML_HUMAN;sp|O95671-2|ASML_HUMAN;sp|O95671-3|ASML_HUMAN,12593000,8043700,17308000,5667100,43039000,25012000,11633000,17865000,18265000,19578000,21278000,29524000,14917000,77398000,30644000,12094000,14676000,14529000,27120000,51888000,27882000,24455000,19213000,52722000,9660300,23773000,16049000
sp|O95674|CDS2_HUMAN,NA,349040,429770,647510,599830,309500,290430,542090,982250,420520,302480,NA,1013700,364770,NA,207280,NA,1793900,NA,NA,NA,1345200,NA,NA,NA,NA,633180
sp|O95696|BRD1_HUMAN;sp|O95696-2|BRD1_HUMAN,NA,3347400,2164700,NA,NA,NA,4666300,NA,NA,3211300,2030000,NA,NA,1421800,1944300,3072500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|O95716|RAB3D_HUMAN,NA,NA,NA,NA,NA,NA,329160,NA,NA,NA,NA,NA,NA,NA,598160,NA,NA,NA,NA,NA,NA,NA,796320,1646500,NA,NA,NA
sp|O95747|OXSR1_HUMAN,3221000,2633900,2815900,1272000,3036300,2331900,1909100,2636000,4072300,2766000,3235900,4020700,2018800,3244000,2552000,2629600,3504400,3243700,4094900,2018200,3181800,2656700,2437300,3122100,3864200,1803300,2289300
sp|O95757|HS74L_HUMAN,NA,1994200,NA,NA,NA,NA,594250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,601450,NA,NA,NA,NA,NA
sp|O95758-1|PTBP3_HUMAN;sp|O95758-6|PTBP3_HUMAN;sp|O95758-2|PTBP3_HUMAN;sp|O95758|PTBP3_HUMAN;sp|O95758-5|PTBP3_HUMAN;sp|O95758-4|PTBP3_HUMAN;sp|O95758-7|PTBP3_HUMAN,NA,2926300,NA,NA,NA,842980,NA,2155600,NA,2252600,1083700,NA,NA,NA,NA,NA,1617500,NA,NA,NA,NA,1053300,NA,NA,NA,NA,NA
sp|O95782-2|AP2A1_HUMAN;sp|O95782|AP2A1_HUMAN,2451600,3302100,3102900,1465400,2210500,1419500,3069400,1801800,2533000,2293600,4897000,2669300,1731400,3108200,2179700,3067200,2487600,2885600,2890600,1804500,3324100,1768700,1903800,4025100,1996400,4011800,1913400
sp|O95785|WIZ_HUMAN;sp|O95785-4|WIZ_HUMAN;sp|O95785-3|WIZ_HUMAN;sp|O95785-2|WIZ_HUMAN,NA,19261000,NA,12127000,17123000,NA,NA,11148000,17498000,11317000,16791000,NA,NA,NA,NA,22648000,16062000,NA,NA,NA,NA,17271000,NA,NA,NA,NA,NA
sp|O95786-2|RIGI_HUMAN;sp|O95786|RIGI_HUMAN,NA,3269500,886870,NA,785180,NA,669010,NA,970850,507010,1747500,829730,NA,986030,NA,756380,1016800,849260,NA,NA,1086500,1957200,NA,NA,NA,NA,NA
sp|O95793-2|STAU1_HUMAN;sp|O95793|STAU1_HUMAN;sp|O95793-3|STAU1_HUMAN,NA,1725800,1068100,NA,NA,NA,1871200,1291700,NA,1520500,1405500,NA,NA,NA,839440,1403200,1331200,NA,NA,1203600,1356900,1460300,NA,NA,1590400,NA,NA
sp|O95810|CAVN2_HUMAN,16141000,2140500,5238900,38061000,29014000,1025600,18229000,4336300,3057300,1633100,507990,1210600,32968000,30854000,1016300,NA,707110,34196000,34923000,20422000,3578200,6437300,47322000,26640000,1034900,40309000,22995000
sp|O95816|BAG2_HUMAN;sp|O95816-2|BAG2_HUMAN,NA,2090300,NA,NA,NA,1116900,2829000,1929400,NA,1176500,1292800,1179800,1239500,NA,3044500,1843700,NA,NA,NA,NA,NA,NA,4309000,NA,4504500,NA,NA
sp|O95817|BAG3_HUMAN,3186800,1550900,2293800,2138500,2416400,2642600,2846000,4400700,5238500,2126000,2252200,3833500,3019000,2680300,NA,6003800,9602700,3459700,1892600,1822800,3456700,2585500,2925900,2203400,4876800,NA,3844800
sp|O95831-3|AIFM1_HUMAN;sp|O95831|AIFM1_HUMAN;sp|O95831-2|AIFM1_HUMAN;sp|O95831-5|AIFM1_HUMAN;sp|O95831-4|AIFM1_HUMAN,6451500,7518700,2450800,5094000,4094200,5178700,11878000,7251500,5361400,10317000,3310800,6400000,4084500,4060000,4636600,5084900,4545500,7128300,4741000,4948600,4729700,3403500,4508700,4989500,5572800,4634500,7717500
sp|O95833|CLIC3_HUMAN,2120300,NA,1378400,2653000,2999100,930070,NA,849400,NA,2421200,NA,NA,2153100,NA,NA,NA,NA,2132100,NA,NA,NA,1007400,3051300,NA,NA,NA,3349700
sp|O95834|EMAL2_HUMAN;sp|O95834-2|EMAL2_HUMAN;sp|O95834-3|EMAL2_HUMAN,NA,NA,NA,2467600,NA,1353400,1084500,2363000,2586300,1983900,NA,NA,2092500,NA,NA,NA,NA,1934400,1457300,NA,NA,NA,1857300,NA,1672500,1542100,1929000
sp|O95861-4|BPNT1_HUMAN;sp|O95861|BPNT1_HUMAN;sp|O95861-3|BPNT1_HUMAN;sp|O95861-2|BPNT1_HUMAN,NA,1406900,1245000,NA,1019800,1346300,1913500,1342100,1287900,2955000,1214400,1789000,NA,NA,1371400,NA,798540,1228000,NA,NA,1102700,1685000,1010200,910530,1713000,NA,NA
sp|O95864-3|FADS2_HUMAN;sp|O95864|FADS2_HUMAN;sp|O95864-4|FADS2_HUMAN;sp|O95864-2|FADS2_HUMAN,NA,441560,392150,NA,NA,NA,NA,NA,NA,NA,NA,657360,NA,NA,NA,2137600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|O95865|DDAH2_HUMAN,4089900,2006700,2960300,6882000,3813900,3755700,3890300,2727800,2911300,5094200,2848500,3227400,5534600,3611300,4297100,3269400,2144800,2747300,4419400,3614700,2307400,4729700,5528900,5992500,4505900,4905200,3238300
sp|O95870-2|ABHGA_HUMAN;sp|O95870|ABHGA_HUMAN,NA,NA,NA,NA,758940,NA,NA,NA,798950,NA,NA,NA,NA,NA,691620,NA,559510,NA,NA,NA,NA,576300,NA,NA,NA,NA,NA
sp|O95881|TXD12_HUMAN,NA,7109100,3178400,NA,3107600,4053200,5699300,4728000,6182100,4873300,4374500,7243700,2440300,NA,1748700,5264000,4987400,4996800,NA,NA,2094300,3584700,NA,NA,5293500,NA,NA
sp|O95967|FBLN4_HUMAN,NA,NA,3519800,NA,NA,1523800,775830,1573500,NA,1735800,1949700,2770900,NA,NA,NA,1245200,NA,NA,NA,NA,1664800,2332900,NA,NA,1881700,2382900,NA
sp|O95994|AGR2_HUMAN,40641000,98492000,270380000,70138000,22678000,35642000,273430000,51032000,43771000,60995000,24337000,49695000,11940000,20324000,44836000,94106000,22778000,22987000,23187000,57200000,35832000,168620000,17518000,88802000,48691000,16122000,47700000
sp|O96000|NDUBA_HUMAN;sp|O96000-2|NDUBA_HUMAN,NA,NA,NA,NA,460770,NA,995890,NA,NA,468890,NA,NA,NA,NA,NA,NA,NA,NA,NA,604650,NA,NA,NA,NA,NA,NA,NA
sp|O96005|CLPT1_HUMAN;sp|O96005-3|CLPT1_HUMAN;sp|O96005-4|CLPT1_HUMAN,1599600,NA,NA,NA,NA,NA,NA,NA,1994500,1769800,NA,1306900,NA,NA,NA,791150,NA,NA,NA,NA,NA,2697800,NA,NA,NA,NA,1683300
sp|O96009|NAPSA_HUMAN,22731000,8173300,4514100,7812900,24205000,97161000,NA,55848000,20484000,23214000,6031100,17178000,33689000,32424000,73804000,12919000,7701200,45740000,63028000,41882000,NA,8059300,14186000,18574000,14886000,9679700,35944000
sp|O96011|PX11B_HUMAN;sp|O96011-2|PX11B_HUMAN,NA,NA,NA,NA,NA,NA,NA,1774100,NA,NA,NA,NA,NA,NA,1126300,NA,NA,NA,NA,NA,NA,NA,NA,NA,1880100,NA,2022600
sp|O96013|PAK4_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316260,NA,NA,654810,NA,NA
sp|O96019|ACL6A_HUMAN;sp|O96019-2|ACL6A_HUMAN,921970,3016900,1143600,NA,678560,1792200,1004200,1097600,1025500,1764000,912650,1179400,912380,NA,1441100,2980300,1641300,689690,NA,NA,976400,1230100,NA,NA,1286400,617090,NA
sp|P00167-2|CYB5_HUMAN;sp|P00167|CYB5_HUMAN;sp|P00167-3|CYB5_HUMAN,20602000,10357000,4126800,12491000,18193000,3877700,2886800,28038000,21240000,24800000,4766300,7866000,18687000,17822000,8638000,4443900,8077500,32794000,23865000,11543000,2634500,11631000,22025000,11867000,7798200,11989000,27617000
sp|P00325|ADH1B_HUMAN;sp|P00325-2|ADH1B_HUMAN,26039000,3742000,3536800,64641000,29320000,6564600,385540,1493800,9773600,4732400,NA,4752500,37920000,30551000,11326000,NA,927300,40570000,41119000,25664000,1234200,6964900,46944000,60139000,3075100,64406000,14155000
sp|P00338|LDHA_HUMAN;sp|P00338-3|LDHA_HUMAN;sp|P00338-4|LDHA_HUMAN;sp|P00338-5|LDHA_HUMAN;sp|P00338-2|LDHA_HUMAN,9877500,32314000,37208000,8422000,16470000,23926000,34573000,42193000,22441000,17005000,37546000,37423000,11952000,13409000,26032000,41401000,31072000,7988900,9875700,13334000,68791000,25553000,9188400,11342000,22976000,13107000,17093000
sp|P00352|AL1A1_HUMAN,4427600,4965200,3847900,11511000,9362700,12710000,3368500,NA,3399400,2330600,4542600,2199700,5661400,8368200,4524200,438530,1394500,8470200,6518400,7324300,1959700,2454000,9266800,16479000,2944900,13907000,4351800
sp|P00367|DHE3_HUMAN;sp|P00367-3|DHE3_HUMAN;sp|P00367-2|DHE3_HUMAN,5056000,4566700,3308800,4886800,5713200,5603200,6723800,3947600,5243500,7471800,4458700,4716700,5123600,4483700,8401100,3674600,6491200,8459300,5631500,5992400,7312900,5062300,5896000,5806800,2850200,5623100,5755300
sp|P00387-2|NB5R3_HUMAN;sp|P00387|NB5R3_HUMAN;sp|P00387-3|NB5R3_HUMAN,5489100,4336500,7086800,6860500,7969500,4169300,4331100,2198400,2730200,3869800,6538200,4171400,5746500,7824900,4086500,2215600,2048900,8187400,7356600,6390200,5240700,3831700,7740200,8234200,2619500,9378600,6455500
sp|P00390-2|GSHR_HUMAN;sp|P00390-3|GSHR_HUMAN;sp|P00390|GSHR_HUMAN;sp|P00390-5|GSHR_HUMAN;sp|P00390-4|GSHR_HUMAN,1726000,3216400,6838600,3019900,2884900,3903100,9157600,2178300,2948500,2473100,3321300,4305700,1653600,6246800,12793000,2415100,3211700,3500900,2592500,6018700,4031000,4580300,3666800,6635800,7084300,4335000,2025400
sp|P00403|COX2_HUMAN,22388000,22404000,11382000,18298000,17628000,8755700,53622000,14066000,22313000,19718000,16947000,33966000,12739000,23252000,12277000,18904000,9080000,35113000,24798000,25466000,9841200,11041000,17850000,25058000,9710300,29604000,31878000
sp|P00439|PH4H_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|P00441|SODC_HUMAN,9602600,7319600,5414600,11004000,10022000,10670000,NA,18759000,11688000,5425000,3418700,7494500,7875000,9536300,16351000,4390100,11697000,7174800,15133000,13487000,9026600,9329100,12468000,7041600,20718000,6554000,9967600
sp|P00450|CERU_HUMAN,10754000,10087000,21707000,12094000,19425000,16715000,13438000,6666800,5981900,15568000,10115000,32894000,9165800,29021000,9777700,12680000,3212800,12734000,17021000,12701000,29826000,7363200,5302600,13937000,8005400,11428000,NA
sp|P00488|F13A_HUMAN,16143000,2871400,8253100,6798800,9697800,2499400,1825000,3341400,6661800,4358500,9702300,6759400,14973000,8404800,7909200,2647200,4077300,14302000,11689000,12719000,11092000,3726000,4634800,16285000,2540300,10121000,4647200
sp|P00491|PNPH_HUMAN,1448100,5117900,2480200,1266100,1500200,1260400,2761400,2397000,1349200,819660,1586400,3884700,1007500,1566000,1222200,2570500,1732700,1146400,2089700,2981300,1782700,877840,909470,1562100,902830,976330,1558100
sp|P00492|HPRT_HUMAN,2870100,18930000,6205000,NA,2427800,3232500,25126000,6088300,5595400,4966300,10171000,6809800,982810,2770200,2744400,9089200,10662000,1729200,NA,2659700,7040100,3613700,1620300,2000000,7115000,2716900,2671300
sp|P00505-2|AATM_HUMAN;sp|P00505|AATM_HUMAN,1689100,2212000,1705000,1635100,1114400,2360100,2879700,1634400,1514700,2468300,1883600,1116200,1109200,1349800,2332800,3245700,836950,1996400,1970100,2503300,2071400,1159200,967950,2714300,897300,2208600,1356900
sp|P00533|EGFR_HUMAN;sp|P00533-2|EGFR_HUMAN;sp|P00533-4|EGFR_HUMAN;sp|P00533-3|EGFR_HUMAN,NA,NA,2722600,NA,NA,NA,NA,2914900,NA,3017000,914170,NA,NA,NA,NA,735740,926670,NA,NA,NA,2249400,NA,949420,1132800,753600,1017800,1665200
sp|P00558|PGK1_HUMAN;sp|P00558-2|PGK1_HUMAN,29146000,36092000,29720000,26859000,30676000,62958000,91856000,75771000,46792000,47924000,64964000,67905000,28715000,30820000,22912000,47129000,105020000,38701000,29650000,22362000,76479000,56910000,24986000,30191000,52811000,27066000,29845000
sp|P00568|KAD1_HUMAN,6744500,3662600,1030600,6656400,4730200,2932100,1393600,4984800,2987100,2986200,1245500,2064300,5571300,5119300,5407900,378770,670190,8862100,5756900,3637800,1457400,2607300,6068400,5650200,1205800,3926000,5890500
sp|P00734|THRB_HUMAN,1221800,1091900,1653100,1527800,2228700,1997400,1234500,1982800,1325000,908210,1269100,1825400,1770700,2944400,822200,1032000,886830,923990,1860000,1480200,1640800,1898200,1429600,1011200,1001700,1806900,NA
sp|P00736|C1R_HUMAN,937790,612430,779150,833050,1507000,1305800,517090,915010,NA,NA,3204000,1001900,1101400,3166000,NA,884120,NA,836610,1451900,846090,997850,NA,973350,NA,NA,610530,NA
sp|P00738|HPT_HUMAN;sp|P00738-2|HPT_HUMAN,45168000,26815000,32582000,13908000,50045000,29038000,18017000,11582000,22196000,26901000,23179000,39658000,33588000,162580000,22010000,40791000,15467000,49465000,94448000,50018000,16262000,12890000,34800000,22234000,15126000,20102000,10412000
sp|P00746|CFAD_HUMAN,NA,NA,1460500,1045800,3599700,NA,NA,1359100,NA,NA,1153900,NA,850770,2355000,NA,680680,NA,1031400,1718300,1331800,NA,819420,2034800,NA,NA,1014100,NA
sp|P00747|PLMN_HUMAN,4627000,3315100,2692400,2379900,5573100,3261300,3739200,914990,3262700,2545400,3726200,9611000,5506000,6447700,1874700,6297400,3830600,5094100,5836700,4134600,2880100,2697600,3456500,4119600,1669300,2986700,1995100
sp|P00748|FA12_HUMAN,NA,NA,1856800,NA,4426800,1896300,NA,1856000,1681600,1539200,2114000,3262500,2075900,4413800,NA,1245300,2063200,2163300,3315800,NA,NA,1367000,NA,2168500,NA,NA,NA
sp|P00749-2|UROK_HUMAN;sp|P00749|UROK_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|P00750-4|TPA_HUMAN;sp|P00750-3|TPA_HUMAN;sp|P00750|TPA_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|P00751|CFAB_HUMAN;sp|P00751-2|CFAB_HUMAN,2935100,907810,4521800,NA,3507100,3750900,1246000,3812300,2476800,4127300,2864200,8996400,2175300,11877000,1003100,3823700,2082400,2661500,4979000,5488600,3380700,2126200,2273100,4760900,1111400,1565900,NA
sp|P00915|CAH1_HUMAN,13874000,2419400,20005000,4372400,15406000,10708000,326040,1430200,881340,694710,NA,2315000,9709900,18556000,8065700,4255500,465560,11416000,20768000,30990000,1596400,768120,6991700,10287000,835980,13034000,7611800
sp|P00918|CAH2_HUMAN,7827900,1423500,7279500,4750600,7296100,5200300,3697200,NA,1268500,846670,783130,1220800,7240300,7816600,3260000,937120,NA,7674800,9191500,14610000,2099500,2450900,6365300,4283100,NA,5455900,6225900
sp|P00966|ASSY_HUMAN,1510700,5017300,2055300,1428800,1297200,2613000,2160700,7497800,3445700,3326600,2758300,5169400,1387100,1940200,3319100,2556800,NA,2399500,1633100,NA,2041700,2579600,1214400,1073200,1373300,895440,2650900
sp|P01008|ANT3_HUMAN,824090,1887700,1522000,1568200,5144600,596070,750070,919230,814310,721460,2577900,3881500,734550,7397900,857520,993570,NA,1044200,5415200,942500,1715800,1168700,1634700,6720200,NA,4344300,NA
sp|P01009|A1AT_HUMAN;sp|P01009-2|A1AT_HUMAN;sp|P01009-3|A1AT_HUMAN,14933000,17083000,32920000,8043700,33998000,16837000,15737000,19089000,14432000,13346000,17211000,30445000,13269000,47417000,14887000,17516000,10433000,21384000,31459000,28023000,20946000,17677000,8802300,22003000,11716000,12102000,9027000
sp|P01011|AACT_HUMAN;sp|P01011-2|AACT_HUMAN,6635300,2680400,6757400,4776000,13316000,1493500,7361200,2025000,1659900,3842400,2551500,18118000,5414000,22161000,4272300,8819400,1946100,5383300,23684000,5364300,5316100,4062300,5364500,7818000,1485900,7431400,3546600
sp|P01019|ANGT_HUMAN,NA,NA,899900,NA,1144100,742560,336800,NA,NA,531380,569730,1210300,560560,1653100,NA,480300,NA,NA,642110,575620,570250,510300,NA,896460,NA,NA,NA
sp|P01024|CO3_HUMAN,15043000,5323400,11953000,11676000,23843000,11500000,6104200,6986300,9461400,13867000,12378000,13429000,16180000,36396000,10608000,8711800,5198800,11868000,22313000,21314000,11445000,8243400,12466000,14560000,5620400,15596000,7409600
sp|P01031|CO5_HUMAN,14017000,5477000,8530900,9877500,16321000,8016000,39554000,6404800,2764800,8369000,15070000,33370000,10687000,38507000,8029300,10004000,6331300,8774900,18721000,13111000,18097000,4551100,8957900,19207000,NA,28014000,NA
sp|P01034|CYTC_HUMAN,NA,1222900,953850,NA,1183500,1337400,724640,NA,2214600,1208100,1115500,1117900,NA,NA,2047400,1512300,NA,NA,1257300,NA,848300,1839700,1134600,1731400,NA,NA,NA
sp|P01111|RASN_HUMAN,NA,1539400,858260,1781400,NA,NA,NA,925660,1065300,NA,1552900,1281100,NA,NA,NA,NA,1368800,NA,NA,NA,1254500,1296700,NA,1565100,1125900,1946900,NA
sp|P01591|IGJ_HUMAN,9279400,7701500,5534100,9518100,3518200,4314800,938950,3985500,8276700,5108200,2566200,15618000,7118200,39994000,NA,4075200,2695400,9512600,11491000,9954900,1847800,2975100,11852000,2226500,7926800,6813100,NA
sp|P01615|KVD28_HUMAN;sp|P01614|KVD40_HUMAN,6126900,11372000,6043400,3271900,7668200,4556400,2415900,6094400,11660000,7812400,6016100,6608300,4251600,23483000,3181300,4913000,4254300,10104000,7522000,5502600,10368000,3941400,5345500,NA,3865700,6524100,4851100
sp|P01619|KV320_HUMAN,102180000,49024000,53638000,49086000,52682000,80217000,18980000,28296000,32759000,49363000,48252000,89443000,36986000,229380000,60047000,35449000,27032000,100590000,121250000,90861000,37357000,26919000,41002000,38280000,60430000,99281000,35679000
sp|P01624|KV315_HUMAN,NA,27758000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31897000,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|P01700|LV147_HUMAN,3416400,5322300,3258700,2983100,3598700,5295400,1466300,NA,3545900,2002000,1497100,NA,NA,6732200,NA,NA,2346900,5852200,4108800,2681000,NA,NA,3493700,NA,NA,1823600,NA
sp|P01701|LV151_HUMAN,NA,3290000,NA,NA,NA,NA,NA,NA,1840100,2554900,NA,2159400,2444100,2703800,NA,NA,1724600,4597300,NA,NA,NA,NA,NA,NA,NA,2035900,NA
sp|P01772|HV333_HUMAN,NA,2739700,NA,4455300,NA,1165000,NA,NA,NA,NA,NA,NA,NA,6036800,NA,NA,NA,2337500,2001900,1901500,NA,NA,853140,NA,2603300,2311300,NA
sp|P01780|HV307_HUMAN;sp|P01762|HV311_HUMAN;sp|P01782|HV309_HUMAN,1030900,3690600,2229700,NA,2022700,1462100,NA,1072500,907710,NA,2101500,4280400,1204700,8882400,1220600,2142800,NA,4196700,5008800,2680800,NA,NA,NA,NA,NA,6294800,995360
sp|P01833|PIGR_HUMAN,3274100,9213800,NA,8931700,3801800,10520000,3076000,7051800,2915400,NA,NA,15619000,3382700,6380100,1746700,2790800,2147100,2695000,8530600,3575800,2254800,4214300,3513700,3433200,NA,4197900,5206200
sp|P01834|IGKC_HUMAN,11754000,18902000,10481000,6847200,12794000,16851000,4617200,8706500,7065600,8729300,10807000,10743000,8370900,22839000,8496900,6337400,5716400,14917000,13347000,12333000,15045000,11274000,11531000,11111000,9927700,17841000,11541000
sp|P01859-1|IGHG2_HUMAN;sp|P01859|IGHG2_HUMAN,10405000,14446000,14927000,13541000,43710000,29783000,9792100,33655000,16601000,6800600,17703000,22850000,14848000,60632000,42282000,14240000,5956700,20286000,36168000,16221000,20955000,14148000,29493000,24359000,8836500,43406000,33344000
sp|P01860-1|IGHG3_HUMAN;sp|P01860|IGHG3_HUMAN,12886000,19789000,11508000,10852000,13356000,18508000,3652700,10896000,NA,11257000,7926500,10039000,10474000,23215000,5464000,3452800,4851600,15758000,7644600,9094400,13853000,10883000,20187000,8520800,25110000,15441000,8163800
sp|P01861-1|IGHG4_HUMAN;sp|P01861|IGHG4_HUMAN,2452700,5549300,2161100,1876500,5807400,5620400,1208600,5314700,3698900,2224800,4520300,2573200,2992800,8520200,9769100,1978900,925900,5190400,5254300,2208000,2678600,1982500,5463800,7197300,2781600,12008000,5936500
sp|P01871-1|IGHM_HUMAN;sp|P01871|IGHM_HUMAN,7736300,46786000,43497000,5481400,8333800,16905000,5440200,10645000,3989200,7292700,9357800,48240000,8463200,116150000,2654200,14013000,3548800,34194000,33322000,56610000,3858000,7782500,6220400,3474700,7027900,14410000,4309000
sp|P01876-1|IGHA1_HUMAN;sp|P01876|IGHA1_HUMAN,144330000,223980000,76097000,81266000,156310000,92896000,39174000,65474000,342400000,138250000,79376000,113220000,117530000,233140000,74150000,81558000,128560000,135110000,134370000,82761000,105490000,68147000,185030000,70023000,186920000,136610000,28495000
sp|P01880-1|IGHD_HUMAN;sp|P01880|IGHD_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2959000,NA,4178500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|P01889|HLAB_HUMAN,22261000,15377000,5894600,12702000,14240000,9468700,4193800,11320000,27265000,15956000,17245000,8115100,10170000,4901400,4783400,4198000,15660000,15011000,9509500,9152900,8757400,19503000,24274000,NA,17940000,10260000,16158000
sp|P01903|DRA_HUMAN,26758000,14336000,7265500,20757000,28078000,34609000,2615200,26093000,16493000,24205000,16240000,9781700,27136000,23939000,12889000,2717900,8274200,33256000,33014000,32471000,30222000,8002200,27816000,15893000,9769200,24336000,31961000
sp|P01909|DQA1_HUMAN,NA,NA,NA,NA,1369200,NA,NA,NA,NA,NA,3092200,NA,NA,NA,NA,NA,NA,NA,NA,NA,2070200,NA,NA,767240,NA,1212900,NA
sp|P01911|DRB1_HUMAN,24568000,6736600,3915900,5604800,23313000,25183000,NA,36452000,16902000,20889000,20084000,5401900,23097000,13864000,5203100,2867500,10638000,21169000,32610000,11492000,22090000,11998000,25982000,7267100,5582700,18874000,25929000
sp|P01920|DQB1_HUMAN,5387900,1588700,730000,1880300,3872300,5601600,NA,4458600,3794200,3323500,3786300,1386600,1510700,3167400,991200,NA,1530800,7529400,2288300,5963000,7362500,735740,3781400,964050,1600800,3644800,3050400
sp|P02042|HBD_HUMAN,69755000,12932000,105500000,20332000,120180000,53394000,1299500,6864400,7075900,5179400,648500,15108000,46966000,150710000,32994000,31112000,3601200,65922000,165480000,241860000,5985200,4553200,59503000,116880000,3536700,72560000,46825000
sp|P02452|CO1A1_HUMAN,151900000,17525000,52721000,294200000,118950000,28777000,23843000,152730000,30675000,46736000,98739000,30228000,202890000,103660000,21487000,16080000,31749000,115890000,197210000,333250000,62125000,41681000,107480000,133630000,38357000,201130000,123750000
sp|P02458-1|CO2A1_HUMAN;sp|P02458|CO2A1_HUMAN,NA,NA,NA,317620000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145670000,NA,NA,NA,NA,NA,NA,NA,999180000,NA
sp|P02462|CO4A1_HUMAN,16581000,3663600,12128000,25693000,17727000,4457300,2985400,6872200,7536300,2783600,3700300,6692500,25307000,13759000,6895100,2849600,NA,11728000,17363000,21757000,2539300,5031100,39916000,17717000,3653800,33121000,12405000
sp|P02511|CRYAB_HUMAN,3796900,1649100,280100,11911000,2422700,NA,2176700,1550400,2582000,1813400,1300500,1261600,5915000,3996200,389990,319140,NA,1504700,2703200,4109300,NA,1153600,13271000,3293700,911510,7629500,2708500
